57,1,0,0,0,0,1,1,1,0,1,11,12,1,0,17,5,0,0,0,1,0,0,0,1,0,0
30,1,0,0,0,0,1,0,0,0,1,9,1,5,0,1,7,0,0,0,1,0,0,0,5,0,0
78,1,0,1,0,0,1,0,0,0,1,14,14,5,2,5,18,0,0,-1,0,0,0,2,1,0,0
10,1,0,0,0,0,0,2,0,1,0,7,5,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
70,1,0,0,0,1,1,0,1,0,1,5,11,3,0,10,4,0,0,-1,0,0,0,0,5,0,0
59,1,0,0,0,0,0,2,0,0,0,9,13,2,1,5,15,0,0,-1,0,0,0,0,2,0,0
37,1,0,0,0,1,0,1,1,0,1,11,14,5,0,18,5,0,0,-1,0,0,0,0,4,1,0
63,1,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,-1,0,0,0,0,1,0,0
22,1,0,0,0,0,0,2,1,0,1,2,5,1,2,4,0,0,0,0,1,0,0,0,5,0,0
71,1,0,0,0,1,1,0,0,0,0,10,11,3,15,1,0,0,0,-1,0,0,0,0,4,0,0
46,1,0,1,2,0,0,3,1,0,1,8,7,0,2,9,1,0,0,-1,0,0,0,1,1,0,0
64,1,0,1,0,1,0,0,0,0,0,8,2,2,1,6,1,0,0,1,1,1,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,6,6,1,0,0,11,0,0,-1,0,0,0,3,3,0,0
27,2,0,0,0,0,0,0,0,0,0,0,9,4,1,2,5,0,0,-1,0,0,0,0,0,0,0
42,2,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
79,2,0,0,0,0,0,0,0,0,1,4,1,1,0,4,0,0,0,-1,0,0,0,1,4,0,0
43,2,0,0,0,0,0,0,0,0,0,13,0,2,0,1,11,0,0,-1,0,0,0,0,5,0,0
17,2,0,0,0,0,0,0,0,0,1,9,9,2,3,0,12,0,0,-1,0,0,1,0,3,0,0
74,2,0,0,0,0,0,0,0,0,0,0,13,3,3,2,6,0,0,-1,0,0,0,2,2,0,0
49,2,0,1,0,0,0,1,1,1,0,0,9,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
75,2,0,0,0,0,1,1,0,0,1,3,0,5,0,0,1,0,1,0,1,0,0,0,1,0,0
44,2,0,0,0,1,0,0,1,0,1,3,10,1,0,12,0,0,0,-1,0,0,0,0,1,0,0
37,2,0,1,0,0,0,0,1,0,0,9,5,5,3,3,2,0,0,-1,0,0,0,0,0,0,0
61,2,0,0,0,1,1,0,0,0,0,14,7,0,6,10,1,0,0,-1,0,0,0,3,0,0,0
39,3,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,-1,0,0,0,0,1,0,0
46,3,0,0,0,0,0,0,0,0,1,6,6,1,1,1,6,0,0,-1,0,0,0,0,1,0,0
47,3,0,0,0,0,0,0,0,0,1,13,13,5,0,7,18,0,0,-1,0,0,0,0,2,0,0
51,3,0,0,0,0,0,0,0,0,0,5,1,2,0,1,4,0,0,-1,0,0,0,2,4,0,0
50,3,0,0,0,0,0,0,0,0,0,12,7,2,0,10,6,0,0,-1,0,0,0,0,2,0,0
43,3,0,0,0,0,0,0,0,0,0,13,11,5,0,3,20,0,0,-1,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0,0,1,2,1,3,0,1,1,0,0,-1,0,0,0,0,2,0,0
10,3,0,0,0,0,0,0,0,0,0,13,0,4,1,6,4,0,0,-1,0,0,0,3,3,0,0
80,3,0,1,0,0,1,0,1,0,0,14,11,5,1,21,2,0,0,-1,0,0,0,0,4,0,0
34,3,0,0,0,0,0,0,0,0,1,10,1,5,1,0,9,0,0,1,1,0,0,0,2,0,0
41,3,0,1,0,0,0,1,0,0,0,8,3,3,3,4,3,0,0,-1,0,0,0,0,5,0,0
5,3,0,1,1,1,1,0,0,0,0,8,6,0,2,2,3,0,0,-1,0,0,0,1,4,0,0
22,4,0,0,0,0,0,0,0,0,0,13,6,0,0,6,10,0,0,-1,0,0,0,0,1,0,0
77,4,0,0,0,0,0,0,0,0,1,2,3,0,0,0,4,0,0,-1,0,0,0,0,1,0,0
6,4,0,1,0,0,1,0,0,0,0,13,9,1,5,8,0,0,0,-1,0,0,0,0,0,0,0
14,4,0,1,0,0,0,1,0,0,1,14,8,5,4,3,10,0,0,-1,0,0,0,0,2,0,0
63,4,0,0,0,0,0,1,1,1,1,7,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
75,4,0,0,0,0,1,1,1,0,0,0,9,0,1,0,4,0,0,-1,0,0,0,2,4,0,0
59,4,0,1,0,0,0,1,1,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,4,0,0
25,4,0,0,0,0,0,2,0,0,0,2,3,1,1,1,0,0,0,-1,0,0,1,0,3,0,0
33,4,0,0,0,1,0,1,0,0,0,3,13,5,0,1,14,0,0,-1,0,0,0,0,3,0,0
3,4,0,1,0,0,1,0,1,1,0,11,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
10,4,0,1,0,0,0,1,1,0,0,1,3,4,0,0,3,0,0,-1,0,0,0,0,3,0,0
31,4,0,0,0,0,0,2,0,0,0,4,10,1,0,6,7,0,0,-1,0,0,0,0,2,0,0
35,5,0,0,0,0,0,0,0,0,1,2,7,2,1,0,7,0,0,-1,0,0,0,0,4,0,0
23,5,0,0,0,0,0,0,0,0,0,10,2,5,0,1,3,0,0,-1,0,0,0,0,1,0,0
72,5,0,0,0,0,0,0,0,0,1,13,4,1,0,6,1,0,0,-1,0,0,0,0,0,0,0
19,5,0,0,0,1,0,0,1,0,1,10,8,1,4,5,1,0,0,-1,0,0,0,0,1,0,0
55,5,0,0,2,0,2,1,0,0,1,1,11,3,0,2,9,0,0,-1,0,0,0,0,0,0,0
67,5,0,1,0,0,0,1,1,0,0,12,2,0,0,5,8,0,0,-1,0,0,0,0,0,1,0
14,5,0,0,0,0,1,1,1,0,1,3,5,1,1,2,4,0,0,-1,0,1,0,0,5,0,0
18,5,0,1,0,0,1,0,1,0,0,13,4,3,0,9,6,0,0,-1,0,0,0,3,2,0,0
39,5,0,0,0,0,2,0,1,0,1,10,3,1,0,1,11,0,0,-1,0,0,0,0,5,0,0
76,5,0,0,0,0,0,1,0,0,1,6,8,4,1,0,12,0,0,-1,0,0,0,2,2,0,0
45,5,0,0,0,1,0,1,1,0,1,9,1,3,0,1,8,0,0,-1,0,0,0,0,0,0,0
33,5,0,0,0,0,0,2,0,0,0,14,12,0,0,2,23,0,0,-1,0,0,0,0,4,0,0
32,6,0,0,0,0,0,2,0,0,0,8,10,4,8,0,3,0,0,-1,0,0,0,0,2,0,0
55,6,0,1,0,0,0,1,0,0,1,6,12,1,4,8,2,0,0,-1,0,0,0,0,5,0,0
33,6,0,0,0,1,1,0,0,0,1,10,8,0,1,10,5,0,0,-1,0,0,0,0,5,0,0
27,6,0,0,0,0,0,2,1,0,0,9,3,4,0,2,8,0,0,-1,0,0,0,3,1,0,0
21,6,0,0,0,0,0,2,1,0,1,11,10,2,1,10,8,0,0,-1,0,0,0,0,1,0,0
14,6,0,0,0,0,0,2,0,0,0,9,8,5,2,3,10,0,0,-1,0,0,0,0,1,0,0
41,6,0,0,0,0,1,1,1,0,0,4,12,1,4,8,1,0,0,-1,0,0,0,0,1,0,0
71,6,0,0,0,0,0,2,0,0,1,2,13,2,6,6,0,0,0,-1,0,0,0,2,5,0,0
1,6,0,0,0,0,2,0,1,0,0,5,1,0,1,2,2,0,0,-1,0,0,0,0,1,0,0
17,6,0,0,0,0,0,2,0,0,0,9,13,2,2,0,19,0,0,-1,0,0,0,0,4,0,1
68,6,0,0,0,0,0,1,1,0,1,4,4,0,0,0,6,0,0,-1,0,0,0,2,3,0,0
39,6,0,0,0,0,0,2,0,0,1,5,10,3,5,1,0,0,0,-1,0,0,0,3,1,0,0
13,7,0,0,0,0,0,0,0,0,1,2,12,3,1,1,9,0,0,-1,0,0,0,0,3,0,0
54,7,0,0,0,0,0,0,0,0,1,2,14,2,2,0,13,0,0,-1,0,0,0,1,5,0,0
73,7,0,0,0,0,0,0,0,0,0,9,5,1,3,10,0,0,0,-1,0,0,0,3,3,0,0
30,7,0,0,0,0,0,0,0,0,0,2,14,4,4,2,6,0,0,-1,0,0,0,2,5,0,0
78,7,0,0,0,0,0,0,0,0,0,14,11,5,1,1,17,0,1,0,1,0,0,1,2,0,0
35,7,0,0,0,0,0,0,0,0,1,11,2,4,1,3,7,0,0,-1,0,0,0,3,0,0,0
68,7,0,0,0,0,0,0,0,0,1,3,4,0,0,2,2,0,0,-1,0,0,0,0,0,0,0
49,7,0,0,0,0,0,0,0,0,1,5,2,3,0,5,1,0,0,2,1,0,0,2,2,0,0
34,7,0,0,0,0,0,0,0,0,1,0,14,2,0,8,5,0,0,-1,0,0,0,0,3,1,0
44,7,0,0,0,0,0,0,0,0,0,1,7,4,0,4,3,0,0,-1,0,0,0,0,3,0,0
72,7,0,0,0,0,0,0,0,0,0,4,12,2,0,0,15,0,0,1,0,0,0,0,1,0,0
56,7,0,0,0,0,0,0,0,0,1,11,1,3,0,0,10,0,0,1,1,0,0,0,3,0,0
32,8,0,0,0,0,0,0,0,0,0,9,7,5,6,1,4,0,0,-1,0,0,0,0,4,0,0
